騎手名,コース,1着,2着,3着,4着以下,単勝回収率,複勝回収率
岩部,福島芝2000m,0,0,0,5,0.0,0.0
岩部,福島芝2600m,0,0,0,1,0.0,0.0
土田,中京ダート1200m,0,0,0,3,0.0,0.0
土田,中京ダート1400m,0,0,0,5,0.0,0.0
土田,中京ダート1800m,0,0,0,3,0.0,0.0
土田,中京ダート1900m,0,0,0,1,0.0,0.0
土田,中京芝1600m,0,0,0,1,0.0,0.0
土田,中京芝2000m,0,0,0,2,0.0,0.0
土田,中京芝3000m,0,0,0,1,0.0,0.0
土田,中山ダート1200m,0,0,0,34,0.0,0.0
土田,中山ダート1800m,0,0,0,27,0.0,0.0
土田,中山芝1200m,0,0,0,4,0.0,0.0
土田,中山芝1600m,0,0,0,4,0.0,0.0
土田,中山芝1800m,0,0,0,3,0.0,0.0
土田,中山芝2000m,0,0,0,3,0.0,0.0
土田,中山芝2880m,0,1,3,7,0.0,4.15
土田,中山芝3200m,0,0,0,2,0.0,0.0
土田,中山芝3570m,0,0,0,1,0.0,0.0
土田,京都ダート1200m,0,0,1,0,0.0,22.6
土田,京都芝1600m,0,0,0,1,0.0,0.0
土田,京都芝2910m,0,0,0,1,0.0,0.0
土田,京都芝3170m,0,0,0,1,0.0,0.0
土田,函館ダート1000m,0,0,0,2,0.0,0.0
土田,函館ダート1700m,0,0,0,9,0.0,0.0
土田,函館芝1200m,0,0,0,5,0.0,0.0
土田,函館芝1800m,0,0,0,2,0.0,0.0
土田,小倉ダート1000m,0,0,0,3,0.0,0.0
土田,小倉ダート1700m,0,0,0,3,0.0,0.0
土田,小倉芝1200m,0,0,0,4,0.0,0.0
土田,小倉芝1800m,0,0,0,4,0.0,0.0
土田,小倉芝2000m,0,0,0,2,0.0,0.0
土田,小倉芝2860m,0,0,0,4,0.0,0.0
土田,新潟ダート1200m,0,0,0,17,0.0,0.0
土田,新潟ダート1800m,0,0,0,15,0.0,0.0
土田,新潟芝1000m,0,0,0,2,0.0,0.0
土田,新潟芝1200m,0,0,0,3,0.0,0.0
土田,新潟芝1400m,0,0,0,3,0.0,0.0
土田,新潟芝1600m,0,0,0,1,0.0,0.0
土田,新潟芝1800m,0,0,0,4,0.0,0.0
土田,新潟芝2000m,0,0,0,4,0.0,0.0
土田,新潟芝2850m,0,0,0,4,0.0,0.0
土田,新潟芝2890m,0,0,1,9,0.0,0.43
土田,新潟芝3290m,0,0,0,1,0.0,0.0
土田,札幌ダート1000m,0,1,0,5,0.0,0.72
土田,札幌ダート1700m,0,0,0,8,0.0,0.0
土田,札幌ダート2400m,0,0,0,1,0.0,0.0
土田,札幌芝1200m,0,1,0,5,0.0,18.48
土田,札幌芝1500m,0,0,0,2,0.0,0.0
土田,札幌芝1800m,0,0,0,2,0.0,0.0
土田,札幌芝2000m,0,0,0,3,0.0,0.0
土田,札幌芝2600m,0,0,0,2,0.0,0.0
土田,東京ダート1300m,0,0,0,5,0.0,0.0
土田,東京ダート1400m,0,0,0,6,0.0,0.0
土田,東京ダート1600m,0,0,0,7,0.0,0.0
土田,東京ダート2100m,0,0,0,1,0.0,0.0
土田,東京芝1400m,0,0,0,1,0.0,0.0
土田,東京芝1600m,0,0,0,5,0.0,0.0
土田,東京芝1800m,0,0,0,3,0.0,0.0
土田,東京芝2000m,0,0,0,2,0.0,0.0
土田,東京芝3000m,0,0,0,3,0.0,0.0
土田,福島ダート1150m,1,1,0,15,1.78,0.49
土田,福島ダート1700m,0,0,0,10,0.0,0.0
土田,福島芝1200m,0,0,0,13,0.0,0.0
土田,福島芝1800m,0,0,0,2,0.0,0.0
土田,福島芝2750m,0,0,1,2,0.0,1.97
土田,福島芝2770m,0,0,0,5,0.0,0.0
土田,福島芝3380m,0,0,0,1,0.0,0.0
土田,阪神ダート1800m,0,0,0,1,0.0,0.0
土田,阪神芝2970m,0,0,0,2,0.0,0.0
土田,阪神芝3110m,0,0,0,1,0.0,0.0
鮫島克,中京ダート1200m,0,0,0,1,0.0,0.0
鮫島克,中京芝1600m,0,0,0,1,0.0,0.0
鮫島克,中京芝2000m,0,0,0,1,0.0,0.0
鮫島克,中山ダート1800m,0,0,0,1,0.0,0.0
鮫島克,中山芝1600m,0,0,0,1,0.0,0.0
鮫島克,中山芝2000m,0,0,0,1,0.0,0.0
鮫島克,京都芝1800m,0,0,0,1,0.0,0.0
鮫島克,小倉ダート1700m,0,0,1,1,0.0,1.45
鮫島克,小倉芝1200m,0,0,0,1,0.0,0.0
鮫島克,小倉芝1800m,0,0,0,1,0.0,0.0
鮫島克,札幌ダート1700m,0,0,0,1,0.0,0.0
鮫島克,東京芝1800m,0,0,1,0,0.0,3.3
鮫島克,東京芝2000m,1,0,0,1,21.45,3.15
鮫島克,阪神ダート1200m,0,0,1,2,0.0,0.97
