騎手名,コース,1着,2着,3着,4着以下,単勝回収率,複勝回収率,単勝平均,単勝標準偏差,複勝平均,複勝標準偏差
舟山瑠,新潟ダート1200m,0,2,2,7,0.0,1.43,0.0,0.0,3.92,1.91
舟山瑠,新潟ダート1800m,0,0,1,8,0.0,0.62,0.0,0.0,5.6,0.0
舟山瑠,新潟芝1200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,新潟芝1400m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,新潟芝1600m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,新潟芝1800m,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,新潟芝2000m,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,新潟芝2200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,札幌ダート1000m,1,1,0,9,0.4,0.25,4.4,0.0,1.4,0.2
舟山瑠,札幌ダート1700m,0,3,1,17,0.0,0.75,0.0,0.0,3.92,2.3
舟山瑠,札幌芝1200m,0,0,1,7,0.0,0.21,0.0,0.0,1.7,0.0
舟山瑠,札幌芝1500m,0,1,0,7,0.0,1.55,0.0,0.0,12.4,0.0
舟山瑠,札幌芝1800m,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,札幌芝2000m,0,1,1,8,0.0,1.21,0.0,0.0,6.05,1.65
舟山瑠,札幌芝2600m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,東京ダート1400m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,東京芝1600m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,福島ダート1150m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
舟山瑠,福島ダート1700m,0,1,2,8,0.0,1.47,0.0,0.0,5.4,3.98
舟山瑠,福島芝1200m,1,0,1,3,0.56,0.52,2.8,0.0,1.3,0.1
舟山瑠,福島芝1800m,1,1,0,6,6.65,1.62,53.2,0.0,6.5,2.1
舟山瑠,福島芝2000m,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
